content,content_clean,content_preprocessing
"GAUSAH DI DOWNLOAD , BUKANNYA MEMPERMUDAH MALAH MEMPERSULIT . SOAL DI KUIS TIDAK BISA KEGANTI , LOADING LAMA .",gausah di download  bukannya mempermudah malah mempersulit  soal di kuis tidak bisa keganti  loading lama,"['gausah', 'download', 'bukannya', 'mempermudah', 'malah', 'mempersulit', 'soal', 'kuis', 'keganti', 'loading', 'lama']"
Muda2han kedepannya app ini makin baik dan nyaman di gunakan,mudahan kedepannya app ini makin baik dan nyaman di gunakan,"['mudahan', 'kedepannya', 'app', 'makin', 'baik', 'nyaman', 'gunakan']"
"Edlink eror melulu, padahal jaringan udah 5G",edlink eror melulu padahal jaringan udah g,"['edlink', 'eror', 'melulu', 'padahal', 'jaringan', 'udah', 'g']"
"Aplikasi sering error, kadang buka materi gamau, saat mengerjakan quiz loading kw soal selanjutnya lama, hasil nilai quiz tidak sesuai dengan soal yg benar terjawab. tolong diperbaikin aplikasinya, karena kasian para mahasiswa yang di tuntut untuk mengerjakan quiz dengan aplikasi edlink ini menjadi rugi diakibatkan karena buruknya aplikasi ini, terimakasih.",aplikasi sering error kadang buka materi gamau saat mengerjakan quiz loading kw soal selanjutnya lama hasil nilai quiz tidak sesuai dengan soal yg benar terjawab tolong diperbaikin aplikasinya karena kasian para mahasiswa yang di tuntut untuk mengerjakan quiz dengan aplikasi edlink ini menjadi rugi diakibatkan karena buruknya aplikasi ini terimakasih,"['aplikasi', 'sering', 'error', 'kadang', 'buka', 'materi', 'gamau', 'mengerjakan', 'quiz', 'loading', 'kw', 'soal', 'selanjutnya', 'lama', 'hasil', 'nilai', 'quiz', 'sesuai', 'soal', 'yg', 'benar', 'terjawab', 'diperbaikin', 'aplikasinya', 'kasian', 'mahasiswa', 'tuntut', 'mengerjakan', 'quiz', 'aplikasi', 'edlink', 'menjadi', 'rugi', 'diakibatkan', 'buruknya', 'aplikasi', 'terimakasih']"
"Jelek aplikasinya GK pantas jadi media pembelajaran , memudahkan dosen menyulitkan mahasiswa, kalau kuis suka eror edlinknya",jelek aplikasinya gk pantas jadi media pembelajaran  memudahkan dosen menyulitkan mahasiswa kalau kuis suka eror edlinknya,"['jelek', 'aplikasinya', 'gk', 'pantas', 'jadi', 'media', 'pembelajaran', 'memudahkan', 'dosen', 'menyulitkan', 'mahasiswa', 'kalau', 'kuis', 'suka', 'eror', 'edlinknya']"
"Kalau ada quiz lelet banget. Jawaban tidak terkonfirmasi, habis waktu buat nungguin loading, di akhir gabisa ngirim jawaban. Padahal udh jawab benar semua malah dapat 0 luar biasa wkwkwkwk.",kalau ada quiz lelet banget jawaban tidak terkonfirmasi habis waktu buat nungguin loading di akhir gabisa ngirim jawaban padahal udh jawab benar semua malah dapat  luar biasa wkwkwkwk,"['kalau', 'quiz', 'lelet', 'banget', 'jawaban', 'terkonfirmasi', 'habis', 'waktu', 'buat', 'nungguin', 'loading', 'akhir', 'gabisa', 'ngirim', 'jawaban', 'padahal', 'udh', 'jawab', 'benar', 'semua', 'malah', 'luar', 'biasa', 'wkwkwkwk']"
"Edlink banyak erornya membuat saya tidak dapat menjawab qius dengan benar dan saya mendapatkan nilai 0, saya protes ke dosen tidak diterima, sudah 5 saya mendapatkan 0 dalam qius tersebut karena kesalahan edlink ini, apakah edlink bisa memperbaiki nilai saya yang 0 tersebut karena sering server down ini, tidak bisa, buat aplikasi yang benar lah, perbesar kapasitasnya, anda bisa menjawab minta maaf tapi saya mengulang 1 semester untuk 1 mata kulia tersebut.",edlink banyak erornya membuat saya tidak dapat menjawab qius dengan benar dan saya mendapatkan nilai  saya protes ke dosen tidak diterima sudah  saya mendapatkan  dalam qius tersebut karena kesalahan edlink ini apakah edlink bisa memperbaiki nilai saya yang  tersebut karena sering server down ini tidak bisa buat aplikasi yang benar lah perbesar kapasitasnya anda bisa menjawab minta maaf tapi saya mengulang  semester untuk  mata kulia tersebut,"['edlink', 'banyak', 'erornya', 'membuat', 'menjawab', 'qius', 'benar', 'mendapatkan', 'nilai', 'protes', 'dosen', 'diterima', 'mendapatkan', 'qius', 'tersebut', 'kesalahan', 'edlink', 'edlink', 'memperbaiki', 'nilai', 'tersebut', 'sering', 'server', 'down', 'buat', 'aplikasi', 'benar', 'lah', 'perbesar', 'kapasitasnya', 'menjawab', 'minta', 'maaf', 'mengulang', 'semester', 'mata', 'kulia', 'tersebut']"
"Kak, saran yang kemarin kakak bilang itukan hanya berlaku buat dosen. Saya mahasiswa kak. Kami juga sekarang mulai kirim tugas lewat email karena edlink gitu. Penyimpanan nya benar-benar GK bisa dihapus kak. Bukan hanya saya. Teman satu kampus semua gitu. Sampai beberapa dosen mengambil kebijakan untuk memindahkan mata kuliah ke aplikasi lain. Mungkin kalau kakak bisa jelaskan proses penghapusan media untuk mahasiswa, saya bisa infokan ke teman-teman saya",kak saran yang kemarin kakak bilang itukan hanya berlaku buat dosen saya mahasiswa kak kami juga sekarang mulai kirim tugas lewat email karena edlink gitu penyimpanan nya benarbenar gk bisa dihapus kak bukan hanya saya teman satu kampus semua gitu sampai beberapa dosen mengambil kebijakan untuk memindahkan mata kuliah ke aplikasi lain mungkin kalau kakak bisa jelaskan proses penghapusan media untuk mahasiswa saya bisa infokan ke temanteman saya,"['kak', 'saran', 'kemarin', 'kakak', 'bilang', 'itukan', 'berlaku', 'buat', 'dosen', 'mahasiswa', 'kak', 'sekarang', 'mulai', 'kirim', 'tugas', 'lewat', 'email', 'edlink', 'gitu', 'penyimpanan', 'nya', 'benarbenar', 'gk', 'dihapus', 'kak', 'bukan', 'teman', 'satu', 'kampus', 'semua', 'gitu', 'beberapa', 'dosen', 'mengambil', 'kebijakan', 'memindahkan', 'mata', 'kuliah', 'aplikasi', 'mungkin', 'kalau', 'kakak', 'jelaskan', 'proses', 'penghapusan', 'media', 'mahasiswa', 'infokan', 'temanteman']"
Edlink kenapa susah banget buat login nya saya sudah satu minggu alfa karena tidak bisa masuk edlink padahal jaringan bagus😓,edlink kenapa susah banget buat login nya saya sudah satu minggu alfa karena tidak bisa masuk edlink padahal jaringan bagus,"['edlink', 'susah', 'banget', 'buat', 'login', 'nya', 'satu', 'minggu', 'alfa', 'masuk', 'edlink', 'padahal', 'jaringan', 'bagus']"
Rekomendasi,rekomendasi,['rekomendasi']
Aplikasi'a kurang efektif Krena sering eror,aplikasia kurang efektif krena sering eror,"['aplikasia', 'kurang', 'efektif', 'krena', 'sering', 'eror']"
Tolong tambahkan progress pengiriman upload file ke cloud/ penyimanan pribadi dan tambahkan pemilihan lebih dari satu saat upload ke penyimpanan cloud. Serta pecepat respon server dan perhalus user interaface nya agar lebih nyaman saat menggunakan EdLink. Sisanya udah bagus.,tolong tambahkan progress pengiriman upload file ke cloud penyimanan pribadi dan tambahkan pemilihan lebih dari satu saat upload ke penyimpanan cloud serta pecepat respon server dan perhalus user interaface nya agar lebih nyaman saat menggunakan edlink sisanya udah bagus,"['tambahkan', 'progress', 'pengiriman', 'upload', 'file', 'cloud', 'penyimanan', 'pribadi', 'tambahkan', 'pemilihan', 'lebih', 'satu', 'upload', 'penyimpanan', 'cloud', 'pecepat', 'respon', 'server', 'perhalus', 'user', 'interaface', 'nya', 'lebih', 'nyaman', 'menggunakan', 'edlink', 'sisanya', 'udah', 'bagus']"
kenapa edlink ga bisa di buka sudah berkali kali di instal taoi ga bisa masuk masuk buka edlink ny,kenapa edlink ga bisa di buka sudah berkali kali di instal taoi ga bisa masuk masuk buka edlink ny,"['edlink', 'ga', 'buka', 'berkali', 'kali', 'instal', 'taoi', 'ga', 'masuk', 'masuk', 'buka', 'edlink', 'ny']"
Hebat,hebat,['hebat']
Ok,ok,[]
"Terimakasih edlink... berkat aplikasi ini saya terbantu dalam ujian dan saya berhasil mendapatkan nilai yg sangattttt wow, kebanyakan mutar2 aja",terimakasih edlink berkat aplikasi ini saya terbantu dalam ujian dan saya berhasil mendapatkan nilai yg sangattttt wow kebanyakan mutar aja,"['terimakasih', 'edlink', 'berkat', 'aplikasi', 'terbantu', 'ujian', 'berhasil', 'mendapatkan', 'nilai', 'yg', 'sangattttt', 'wow', 'kebanyakan', 'mutar', 'aja']"
"Perbaiki masalah ketika meng-upload file yang berukuran besar, selalunya ketika meng-upload video terjadi masalah jaringan padahal jaringan dalam kondisi yang baik-baik saja, pakai Wi-Fi pun butuh waktu yang lama ketika melakukan upload.",perbaiki masalah ketika mengupload file yang berukuran besar selalunya ketika mengupload video terjadi masalah jaringan padahal jaringan dalam kondisi yang baikbaik saja pakai wifi pun butuh waktu yang lama ketika melakukan upload,"['perbaiki', 'masalah', 'mengupload', 'file', 'berukuran', 'besar', 'selalunya', 'mengupload', 'video', 'terjadi', 'masalah', 'jaringan', 'padahal', 'jaringan', 'kondisi', 'baikbaik', 'pakai', 'wifi', 'butuh', 'waktu', 'lama', 'melakukan', 'upload']"
Rugi nilai..... cepetin lagi ya kualitasnya jangan lemot.. soalnya saya mahasiswa ngerjar nilai. Makasih,rugi nilai cepetin lagi ya kualitasnya jangan lemot soalnya saya mahasiswa ngerjar nilai makasih,"['rugi', 'nilai', 'cepetin', 'kualitasnya', 'jangan', 'lemot', 'soalnya', 'mahasiswa', 'ngerjar', 'nilai', 'makasih']"
"Kok beberapa hari ini setiap buka apk nya eror mulu ya, pdhl dari kemarin lancar aja. Tolong di fix admin",kok beberapa hari ini setiap buka apk nya eror mulu ya pdhl dari kemarin lancar aja tolong di fix admin,"['kok', 'beberapa', 'hari', 'buka', 'apk', 'nya', 'eror', 'mulu', 'pdhl', 'kemarin', 'lancar', 'aja', 'fix', 'admin']"
Cinta itu buta,cinta itu buta,"['cinta', 'buta']"
Mohon maaf kak edlink setelah di upgrade kok jadi lebih susah dalam upload tugas terus kalau ada pemberitahuan tidak muncul di layar hp,mohon maaf kak edlink setelah di upgrade kok jadi lebih susah dalam upload tugas terus kalau ada pemberitahuan tidak muncul di layar hp,"['mohon', 'maaf', 'kak', 'edlink', 'upgrade', 'kok', 'jadi', 'lebih', 'susah', 'upload', 'tugas', 'terus', 'kalau', 'pemberitahuan', 'muncul', 'layar', 'hp']"
"Senang karena nyaman dilihat apk setelah pembaharuan, ada kemajuan..🤗 mudah dimengerti, Sangat bermanfaat bagi perkuliahan online♥️ terimakasih :)",senang karena nyaman dilihat apk setelah pembaharuan ada kemajuan🤗 mudah dimengerti sangat bermanfaat bagi perkuliahan online♥️ terimakasih,"['senang', 'nyaman', 'dilihat', 'apk', 'pembaharuan', 'kemajuan🤗', 'mudah', 'dimengerti', 'sangat', 'bermanfaat', 'perkuliahan', 'online♥️', 'terimakasih']"
loading nya lama bangat tolong dong di perbaiki,loading nya lama bangat tolong dong di perbaiki,"['loading', 'nya', 'lama', 'bangat', 'dong', 'perbaiki']"
"Pas buka PUBG, ML, FF, GENSIN INMPACT lancar, giliran buka aplikasi ini tiba-tiba loading terossssss",pas buka pubg ml ff gensin inmpact lancar giliran buka aplikasi ini tibatiba loading terossssss,"['pas', 'buka', 'pubg', 'ml', 'ff', 'gensin', 'inmpact', 'lancar', 'giliran', 'buka', 'aplikasi', 'tibatiba', 'loading', 'terossssss']"
"Hallo kak , kenapa ya saya mau upload tugas tapi ga keupload terus , bahkan ada tulisan gangguan jaringan periksa koneksi terus padahal sinyal full kuota juga masih banyak 🙏",hallo kak  kenapa ya saya mau upload tugas tapi ga keupload terus  bahkan ada tulisan gangguan jaringan periksa koneksi terus padahal sinyal full kuota juga masih banyak,"['hallo', 'kak', 'mau', 'upload', 'tugas', 'ga', 'keupload', 'terus', 'bahkan', 'tulisan', 'gangguan', 'jaringan', 'periksa', 'koneksi', 'terus', 'padahal', 'sinyal', 'full', 'kuota', 'banyak']"
"Edlink makin hari kok makin banyak eror nya si :( aku mau ngirim tugas makalah tulisan nya periksa koneksi terus padahal sudah pakai wiffi sama data tetap aja. Sampe deadline nya kelewat, capek capek ngerjain 😌 malah gk dapet nilai makasih edlink",edlink makin hari kok makin banyak eror nya si  aku mau ngirim tugas makalah tulisan nya periksa koneksi terus padahal sudah pakai wiffi sama data tetap aja sampe deadline nya kelewat capek capek ngerjain  malah gk dapet nilai makasih edlink,"['edlink', 'makin', 'hari', 'kok', 'makin', 'banyak', 'eror', 'nya', 'si', 'aku', 'mau', 'ngirim', 'tugas', 'makalah', 'tulisan', 'nya', 'periksa', 'koneksi', 'terus', 'padahal', 'pakai', 'wiffi', 'sama', 'data', 'tetap', 'aja', 'sampe', 'deadline', 'nya', 'kelewat', 'capek', 'capek', 'ngerjain', 'malah', 'gk', 'dapet', 'nilai', 'makasih', 'edlink']"
Gangguan terosss,gangguan terosss,"['gangguan', 'terosss']"
Aplikasi edlink ini sangat bermanfaat bagi saya karena dapat membantu saya melakukan kuliah online,aplikasi edlink ini sangat bermanfaat bagi saya karena dapat membantu saya melakukan kuliah online,"['aplikasi', 'edlink', 'sangat', 'bermanfaat', 'membantu', 'melakukan', 'kuliah', 'online']"
"Down server terus ah jelek. Mau upload tugas pas deadline malah ga bisa buka. Apk bagus lah, lebih bagus di hapus.",down server terus ah jelek mau upload tugas pas deadline malah ga bisa buka apk bagus lah lebih bagus di hapus,"['down', 'server', 'terus', 'ah', 'jelek', 'mau', 'upload', 'tugas', 'pas', 'deadline', 'malah', 'ga', 'buka', 'apk', 'bagus', 'lah', 'lebih', 'bagus', 'hapus']"
Bagus,bagus,['bagus']
Kulia,kulia,['kulia']
"Lebih bagus yang versi lama, versi baru ini menyusahkan, loadingnya lama untuk scroll ke bawah pun susah, padahal kamaren itu udah bagus banget",lebih bagus yang versi lama versi baru ini menyusahkan loadingnya lama untuk scroll ke bawah pun susah padahal kamaren itu udah bagus banget,"['lebih', 'bagus', 'versi', 'lama', 'versi', 'baru', 'menyusahkan', 'loadingnya', 'lama', 'scroll', 'bawah', 'susah', 'padahal', 'kamaren', 'udah', 'bagus', 'banget']"
"MATERI DARI TERTUTUP OLEH BERITA YANG TERKADANG TIDAK PENTING, DAN JUGA MATERI BARU BERADA DI BAWAH MATERI LAMA JADI TIDAK TAU MATERI YANG BARU ATAU YANG LAMA, MOHON PERBAIKAN NYA TERKADANG DOSEN TIDAK PEDULI TENTANG KENDALA INI JADI ABSEN KITA SEBAGAI MAHASISWA TERGANGGU",materi dari tertutup oleh berita yang terkadang tidak penting dan juga materi baru berada di bawah materi lama jadi tidak tau materi yang baru atau yang lama mohon perbaikan nya terkadang dosen tidak peduli tentang kendala ini jadi absen kita sebagai mahasiswa terganggu,"['materi', 'tertutup', 'berita', 'terkadang', 'penting', 'materi', 'baru', 'berada', 'bawah', 'materi', 'lama', 'jadi', 'tau', 'materi', 'baru', 'lama', 'mohon', 'perbaikan', 'nya', 'terkadang', 'dosen', 'peduli', 'kendala', 'jadi', 'absen', 'mahasiswa', 'terganggu']"
"Ini aplikasi bukannya bikin bantu mempermudah pembelajaran dimasa pandemi,tapi malah mempersulit,sering ngadat dan harus bolak balik donlot. Diwaktu UAS malah ngadat , Menyebalkan,",ini aplikasi bukannya bikin bantu mempermudah pembelajaran dimasa pandemitapi malah mempersulitsering ngadat dan harus bolak balik donlot diwaktu uas malah ngadat  menyebalkan,"['aplikasi', 'bukannya', 'bikin', 'bantu', 'mempermudah', 'pembelajaran', 'dimasa', 'pandemitapi', 'malah', 'mempersulitsering', 'ngadat', 'bolak', 'balik', 'donlot', 'diwaktu', 'uas', 'malah', 'ngadat', 'menyebalkan']"
Toko pedia banyak membantu dlm banyak hal,toko pedia banyak membantu dlm banyak hal,"['toko', 'pedia', 'banyak', 'membantu', 'dlm', 'banyak']"
"Kebanyakan loading , upload tipe kb aja lama loadingnya padahal sinyal bagus",kebanyakan loading  upload tipe kb aja lama loadingnya padahal sinyal bagus,"['kebanyakan', 'loading', 'upload', 'tipe', 'kb', 'aja', 'lama', 'loadingnya', 'padahal', 'sinyal', 'bagus']"
"Apk gaje, bikin sakit kepala aja.",apk gaje bikin sakit kepala aja,"['apk', 'gaje', 'bikin', 'sakit', 'kepala', 'aja']"
Terbaik,terbaik,['terbaik']
Sering tidak bisa dbuka. Tolong diperbaiki,sering tidak bisa dbuka tolong diperbaiki,"['sering', 'dbuka', 'diperbaiki']"
Mengapa pada saat saya ingin menambahkan tugas saya . Kenapa tidak bisa ditambahakan. Padahal saya ingin mengupload tugas saya,mengapa pada saat saya ingin menambahkan tugas saya  kenapa tidak bisa ditambahakan padahal saya ingin mengupload tugas saya,"['menambahkan', 'tugas', 'ditambahakan', 'padahal', 'mengupload', 'tugas']"
Mantul bat dah pokonya,mantul bat dah pokonya,"['mantul', 'bat', 'dah', 'pokonya']"
"Mohon maaf nih,saya akan menyampaikan keluhan saya ketika memakai Edlink terkadang ketika Daring nih aplikasi membuat saya kesal karena tidak bisa dibuka sehingga sering membuat saya tidak bisa mengerjakan tugas"" yang telah diberikan oleh Dosen. Mohon kepada pihak Deploper Edlink agar diperbaiki segera",mohon maaf nihsaya akan menyampaikan keluhan saya ketika memakai edlink terkadang ketika daring nih aplikasi membuat saya kesal karena tidak bisa dibuka sehingga sering membuat saya tidak bisa mengerjakan tugas yang telah diberikan oleh dosen mohon kepada pihak deploper edlink agar diperbaiki segera,"['mohon', 'maaf', 'nihsaya', 'menyampaikan', 'keluhan', 'memakai', 'edlink', 'terkadang', 'daring', 'nih', 'aplikasi', 'membuat', 'kesal', 'dibuka', 'sering', 'membuat', 'mengerjakan', 'tugas', 'diberikan', 'dosen', 'mohon', 'pihak', 'deploper', 'edlink', 'diperbaiki', 'segera']"
Tidak bisa terbukaa edlink nya,tidak bisa terbukaa edlink nya,"['terbukaa', 'edlink', 'nya']"
"Kenpa sya mau mengupload tugas tapi tdk bisa, katanya sudah penuh penyimpanan edlinknya",kenpa sya mau mengupload tugas tapi tdk bisa katanya sudah penuh penyimpanan edlinknya,"['kenpa', 'sya', 'mau', 'mengupload', 'tugas', 'tdk', 'katanya', 'penuh', 'penyimpanan', 'edlinknya']"
Noob gak bisa dibuka,noob gak bisa dibuka,"['noob', 'gak', 'dibuka']"
Good,good,['good']
"Edlink saya dari pagi gak bisa di buka min. Sudah saya hapus dan download ulang tapi sama saja, tidak masuk ke aplikasi malah muter terus😑😑 Itu gimana yah min. Mohon bantuan nya🙏🙏",edlink saya dari pagi gak bisa di buka min sudah saya hapus dan download ulang tapi sama saja tidak masuk ke aplikasi malah muter terus itu gimana yah min mohon bantuan nya,"['edlink', 'pagi', 'gak', 'buka', 'min', 'hapus', 'download', 'ulang', 'sama', 'masuk', 'aplikasi', 'malah', 'muter', 'terus', 'gimana', 'yah', 'min', 'mohon', 'bantuan', 'nya']"
"Edlink kenapa gabisa dibuka terus, udah beberapa kali uninstall terus install lagi tapi tetep gabisa dibuka load terus, padahal jaringan bagus, udh coba pake wifi jg tetep gabisa.. tugas kuliah saya mana numpuk lagi duhhh",edlink kenapa gabisa dibuka terus udah beberapa kali uninstall terus install lagi tapi tetep gabisa dibuka load terus padahal jaringan bagus udh coba pake wifi jg tetep gabisa tugas kuliah saya mana numpuk lagi duhhh,"['edlink', 'gabisa', 'dibuka', 'terus', 'udah', 'beberapa', 'kali', 'uninstall', 'terus', 'install', 'tetep', 'gabisa', 'dibuka', 'load', 'terus', 'padahal', 'jaringan', 'bagus', 'udh', 'coba', 'pake', 'wifi', 'jg', 'tetep', 'gabisa', 'tugas', 'kuliah', 'mana', 'numpuk', 'duhhh']"
Gggg,gggg,['gggg']
"Kenapa setelah di update, notifikasinya tidak muncul lagi ya kak? Mohon informasinya",kenapa setelah di update notifikasinya tidak muncul lagi ya kak mohon informasinya,"['update', 'notifikasinya', 'muncul', 'kak', 'mohon', 'informasinya']"
Tidak baguss. Kuarang di pahami cara muali zoomnya,tidak baguss kuarang di pahami cara muali zoomnya,"['baguss', 'kuarang', 'pahami', 'cara', 'muali', 'zoomnya']"
"Kenapa jam di edlink tidak sesuai dengan jam atau waktu yang sebenarnya saat mengerjakan kuis juga tidak bisa, soal hanya mucul sebentar kemudian langsung keluar sendiri",kenapa jam di edlink tidak sesuai dengan jam atau waktu yang sebenarnya saat mengerjakan kuis juga tidak bisa soal hanya mucul sebentar kemudian langsung keluar sendiri,"['jam', 'edlink', 'sesuai', 'jam', 'waktu', 'sebenarnya', 'mengerjakan', 'kuis', 'soal', 'mucul', 'sebentar', 'kemudian', 'langsung', 'keluar', 'sendiri']"
Mantap,mantap,['mantap']
"Ini edlink aps sama yg di web hari ini susah kali masuk nya, gangguan kah..",ini edlink aps sama yg di web hari ini susah kali masuk nya gangguan kah,"['edlink', 'aps', 'sama', 'yg', 'web', 'hari', 'susah', 'kali', 'masuk', 'nya', 'gangguan']"
"Krn aplikasi ini tdk bagus menurut sya, krn knp loading terus",krn aplikasi ini tdk bagus menurut sya krn knp loading terus,"['krn', 'aplikasi', 'tdk', 'bagus', 'sya', 'krn', 'knp', 'loading', 'terus']"
aplikasi ini sangat membantu saya untuk kulon disaat kondisi sekarang:),aplikasi ini sangat membantu saya untuk kulon disaat kondisi sekarang,"['aplikasi', 'sangat', 'membantu', 'kulon', 'disaat', 'kondisi', 'sekarang']"
Sangat berguna dan saya selalu mendapat informasi terbaru,sangat berguna dan saya selalu mendapat informasi terbaru,"['sangat', 'berguna', 'selalu', 'mendapat', 'informasi', 'terbaru']"
"Edlink sarap lemot muter muter terus kerjaanya loding lama, gara gara sia aing telat ngerjakeun tugas, mau ngumpulin tugas loadingnya lama bet dah",edlink sarap lemot muter muter terus kerjaanya loding lama gara gara sia aing telat ngerjakeun tugas mau ngumpulin tugas loadingnya lama bet dah,"['edlink', 'sarap', 'lemot', 'muter', 'muter', 'terus', 'kerjaanya', 'loding', 'lama', 'gara', 'gara', 'sia', 'aing', 'telat', 'ngerjakeun', 'tugas', 'mau', 'ngumpulin', 'tugas', 'loadingnya', 'lama', 'bet', 'dah']"
Kenapa saya tidak mendapatkan notifikasi jika dosen membagi materi di edlink?,kenapa saya tidak mendapatkan notifikasi jika dosen membagi materi di edlink,"['mendapatkan', 'notifikasi', 'dosen', 'membagi', 'materi', 'edlink']"
"Parah nih aplikasinya, masa kelas gk bisa dibuka. Klik kelas malah keluar sendiri dari aplikasinya. Mana lg ujian",parah nih aplikasinya masa kelas gk bisa dibuka klik kelas malah keluar sendiri dari aplikasinya mana lg ujian,"['parah', 'nih', 'aplikasinya', 'masa', 'kelas', 'gk', 'dibuka', 'klik', 'kelas', 'malah', 'keluar', 'sendiri', 'aplikasinya', 'mana', 'lg', 'ujian']"
sangat bagus,sangat bagus,"['sangat', 'bagus']"
"Aplikasi yang sering kena gangguan. tolonglah benahi aplikasi ini, mengingat aplikasi ini merupakan salah satu aplikasi pembelajaran yang vital di tengah pandemi corona ini!",aplikasi yang sering kena gangguan tolonglah benahi aplikasi ini mengingat aplikasi ini merupakan salah satu aplikasi pembelajaran yang vital di tengah pandemi corona ini,"['aplikasi', 'sering', 'kena', 'gangguan', 'tolonglah', 'benahi', 'aplikasi', 'mengingat', 'aplikasi', 'merupakan', 'salah', 'satu', 'aplikasi', 'pembelajaran', 'vital', 'tengah', 'pandemi', 'corona']"
"Rusak ni apps masa jaringan saya 4G+ download up to 10mb/ps ketika buka ni apps loading lama, terdapat gangguan di jaringan anda lah gblk emg mau ngumpul tugas aja susah banget tolong di perbaiki min tod",rusak ni apps masa jaringan saya g download up to mbps ketika buka ni apps loading lama terdapat gangguan di jaringan anda lah gblk emg mau ngumpul tugas aja susah banget tolong di perbaiki min tod,"['rusak', 'ni', 'apps', 'masa', 'jaringan', 'g', 'download', 'up', 'to', 'mbps', 'buka', 'ni', 'apps', 'loading', 'lama', 'terdapat', 'gangguan', 'jaringan', 'lah', 'gblk', 'emg', 'mau', 'ngumpul', 'tugas', 'aja', 'susah', 'banget', 'perbaiki', 'min', 'tod']"
Ok banget,ok banget,['banget']
"Apk anjim, mempersulit hidupku di masa kuliah online. Servernya selalu down setiap hari. Cuma ngambil keuntungan aja disaat pandemi.",apk anjim mempersulit hidupku di masa kuliah online servernya selalu down setiap hari cuma ngambil keuntungan aja disaat pandemi,"['apk', 'anjim', 'mempersulit', 'hidupku', 'masa', 'kuliah', 'online', 'servernya', 'selalu', 'down', 'hari', 'cuma', 'ngambil', 'keuntungan', 'aja', 'disaat', 'pandemi']"
"Aplikasi dibuka ga bisa buka, sering error #rrqwin #vivabtr",aplikasi dibuka ga bisa buka sering error,"['aplikasi', 'dibuka', 'ga', 'buka', 'sering', 'error']"
"Saya Sangat Terbantu Dengan Adanya Aplikasi Ini,Mudah Utk Dimengerti🙏",saya sangat terbantu dengan adanya aplikasi inimudah utk dimengerti,"['sangat', 'terbantu', 'adanya', 'aplikasi', 'inimudah', 'utk', 'dimengerti']"
Awalnya aplikasinya lancar2 saja Tapi belakangan ini sering error Tidak bisa dibuka aplkasi nya padahal jaringan saya full Mohon diperbaiki,awalnya aplikasinya lancar saja tapi belakangan ini sering error tidak bisa dibuka aplkasi nya padahal jaringan saya full mohon diperbaiki,"['awalnya', 'aplikasinya', 'lancar', 'belakangan', 'sering', 'error', 'dibuka', 'aplkasi', 'nya', 'padahal', 'jaringan', 'full', 'mohon', 'diperbaiki']"
susah milih file disaat mau ngumpulin tugas harus satu-satu sampe saya ga bisa ngumpulin dikarenakan repot sama file,susah milih file disaat mau ngumpulin tugas harus satusatu sampe saya ga bisa ngumpulin dikarenakan repot sama file,"['susah', 'milih', 'file', 'disaat', 'mau', 'ngumpulin', 'tugas', 'satusatu', 'sampe', 'ga', 'ngumpulin', 'dikarenakan', 'repot', 'sama', 'file']"
"Cukup kecewa sama edlink yang sekarang, karena saat ingin membuka tugas malah force close. Mohon untuk segera diperbaiki",cukup kecewa sama edlink yang sekarang karena saat ingin membuka tugas malah force close mohon untuk segera diperbaiki,"['cukup', 'kecewa', 'sama', 'edlink', 'sekarang', 'membuka', 'tugas', 'malah', 'force', 'close', 'mohon', 'segera', 'diperbaiki']"
"Aku ga bisa masuk edlink, loading mulu muter2 doang....",aku ga bisa masuk edlink loading mulu muter doang,"['aku', 'ga', 'masuk', 'edlink', 'loading', 'mulu', 'muter', 'doang']"
"Kenapa akun edlink saya sering sekali tidak dapat dibuka, dan yang paling menyebalkan adalah saya sering alfa karna aplikasinya tidak dapat dibuka, padahal jaringannya saya baik-baik saja, auto turun nilai kuliah saya🔥",kenapa akun edlink saya sering sekali tidak dapat dibuka dan yang paling menyebalkan adalah saya sering alfa karna aplikasinya tidak dapat dibuka padahal jaringannya saya baikbaik saja auto turun nilai kuliah saya,"['akun', 'edlink', 'sering', 'sekali', 'dibuka', 'paling', 'menyebalkan', 'sering', 'alfa', 'karna', 'aplikasinya', 'dibuka', 'padahal', 'jaringannya', 'baikbaik', 'auto', 'turun', 'nilai', 'kuliah']"
Sangat kecewa karna sudah seminggu ini setiap upload file tugas keterangannya penyimpanan melebihi batas. Dan disuruh upgrade terus padahal tugas sangat banyak 😭 Tolong diperbaiki untuk kapasitas penyimpanan maksimalnya karna file yg dikirim tidak hanya berukuran kecil 🙏🏻,sangat kecewa karna sudah seminggu ini setiap upload file tugas keterangannya penyimpanan melebihi batas dan disuruh upgrade terus padahal tugas sangat banyak  tolong diperbaiki untuk kapasitas penyimpanan maksimalnya karna file yg dikirim tidak hanya berukuran kecil,"['sangat', 'kecewa', 'karna', 'seminggu', 'upload', 'file', 'tugas', 'keterangannya', 'penyimpanan', 'melebihi', 'batas', 'disuruh', 'upgrade', 'terus', 'padahal', 'tugas', 'sangat', 'banyak', 'diperbaiki', 'kapasitas', 'penyimpanan', 'maksimalnya', 'karna', 'file', 'yg', 'dikirim', 'berukuran', 'kecil']"
