content,content_clean,content_preprocessing
"ini servernya yg eror atau bagaimana? pas buka aplikasi loading mulu. katanya gk ada jaringan padahal buat buka aplikasi seperti google classroom, zoom, dll aman aman aja.",ini servernya yg eror atau bagaimana pas buka aplikasi loading mulu katanya gk ada jaringan padahal buat buka aplikasi seperti google classroom zoom dll aman aman aja,"['servernya', 'yg', 'eror', 'bagaimana', 'pas', 'buka', 'aplikasi', 'loading', 'mulu', 'katanya', 'gk', 'jaringan', 'padahal', 'buat', 'buka', 'aplikasi', 'google', 'classroom', 'zoom', 'aman', 'aman', 'aja']"
"tolong dong ini edlink dari tdi saya login tapi tidak bisa masuk, saya punya tugas deadline nya soreee! tolong diperbaiki secepatnyaaaa",tolong dong ini edlink dari tdi saya login tapi tidak bisa masuk saya punya tugas deadline nya soreee tolong diperbaiki secepatnyaaaa,"['dong', 'edlink', 'tdi', 'login', 'masuk', 'punya', 'tugas', 'deadline', 'nya', 'soreee', 'diperbaiki', 'secepatnyaaaa']"
Maaf min knpa notif tugas nya masuk setelah 20 mnit.... Kan jdi telat masuk klas nya Mohon di perbaiki,maaf min knpa notif tugas nya masuk setelah  mnit kan jdi telat masuk klas nya mohon di perbaiki,"['maaf', 'min', 'knpa', 'notif', 'tugas', 'nya', 'masuk', 'mnit', 'kan', 'jdi', 'telat', 'masuk', 'klas', 'nya', 'mohon', 'perbaiki']"
apk rusakkkk,apk rusakkkk,"['apk', 'rusakkkk']"
Edlink saya error terus gak muncul jadwal di kalender nya gk muncul pembayaran kenapa ya aneh 🤔 jadi suka lupa kalo gak muncul jadwal nya,edlink saya error terus gak muncul jadwal di kalender nya gk muncul pembayaran kenapa ya aneh 🤔 jadi suka lupa kalo gak muncul jadwal nya,"['edlink', 'error', 'terus', 'gak', 'muncul', 'jadwal', 'kalender', 'nya', 'gk', 'muncul', 'pembayaran', 'aneh', '🤔', 'jadi', 'suka', 'lupa', 'kalo', 'gak', 'muncul', 'jadwal', 'nya']"
"masih ada bug, suka keluar sendiri",masih ada bug suka keluar sendiri,"['bug', 'suka', 'keluar', 'sendiri']"
Bagus,bagus,['bagus']
Sangat membantu.. 😍,sangat membantu,"['sangat', 'membantu']"
Keren,keren,['keren']
Dipakenya jadi enggak jelas kaya dulu,dipakenya jadi enggak jelas kaya dulu,"['dipakenya', 'jadi', 'enggak', 'jelas', 'kaya', 'dulu']"
